case_no,query_name,domain_size,itr_log_base,itr_log_start,itr_log_end,num_itr,bag_semantics,max_bag_size,resp_table,linearization_needed
31,3Star,500,10,0.5,6,100,False,0,R,True
32,Triangle,100,10,0.5,4.5,100,False,0,R,True
33,TriangleUnary,100,10,0.5,4.5,100,False,0,R,True
34,TriangleUnary,100,10,0.5,4.5,100,False,0,S,True
35,TriangleUnary,100,10,0.5,4.5,100,False,0,T,True
36,TriangleUnary,100,10,0.5,4.5,100,False,0,A,False
37,2Chain,100,10,0.5,4.5,100,False,0,R,False
38,3Chain,100,10,0.5,4.5,100,False,0,R,False
39,4Chain,100,10,0.5,4.5,100,False,0,R,False
40,5Chain,100,10,0.5,5,100,False,0,R,False
41,SJ-chain,100,10,0.5,4.5,100,False,0,R,True
42,SJ-conf,100,10,0.5,4.5,100,False,0,R,False
43,TriangleBinary,100,10,0.5,4.5,100,False,0,T,True
44,TriangleBinary,100,10,0.5,4.5,100,False,0,A,False
131,3Star,100,10,0.5,6,100,True,100,R,True
132,Triangle,100,10,0.5,4.5,100,True,100,R,True
133,TriangleUnary,100,10,0.5,4.5,100,True,100,R,True
134,TriangleUnary,100,10,0.5,4.5,100,True,100,S,True
135,TriangleUnary,100,10,0.5,4.5,100,True,100,T,True
136,TriangleUnary,100,10,0.5,4.5,100,True,100,A,False
137,2Chain,100,10,0.5,4.5,100,True,100,R,False
138,3Chain,100,10,0.5,4.5,100,True,100,R,False
139,4Chain,100,10,0.5,4.5,100,True,100,R,False
140,5Chain,100,10,0.5,5,100,True,100,R,False
141,SJ-chain,100,10,0.5,4.5,100,True,100,R,True
142,SJ-conf,100,10,0.5,4.5,100,True,100,R,False
143,TriangleBinary,100,10,0.5,4.5,100,True,100,T,True
144,TriangleBinary,100,10,0.5,4.5,100,True,100,A,False
