case_no,query_name,domain_size,itr_log_base,itr_log_start,itr_log_end,num_itr,bag_semantics,max_bag_size,linearization_needed
1,3Star,500,10,0.5,6,500,False,0,True
2,SJ-chain,100,10,0.5,4.5,100,True,100,True
3,SJ-conf,100,10,0.5,4.5,100,True,100,False
32,Triangle,100,10,0.5,4.5,100,False,0,True
33,TriangleUnary,100,10,0.5,4.5,100,False,0,False
34,2Chain,100,10,0.5,4.5,100,False,0,False
35,3Chain,100,10,0.5,4.5,100,False,0,False
36,4Chain,100,10,0.5,4.5,100,False,0,False
37,SJ-chain,100,10,0.5,4.5,100,False,0,True
38,SJ-conf,100,10,0.5,4.5,100,False,0,False
40,SJ-3-conf,100,10,0.5,4.5,100,False,0,True
41,5Chain,100,10,0.5,5,100,False,0,False
42,TriangleBinary,100,10,0.5,4.5,100,False,0,False
43,SJ-z5,100,10,0.5,4.5,100,False,0,
44,SJ-z6,100,10,0.5,4.5,100,False,0,False
45,SJ-3-conf-ac,100,10,0.5,4.5,100,False,0,False
131,3Star,100,10,0.5,4.5,100,True,100,True
132,Triangle,100,10,0.5,4.5,100,True,100,True
133,TriangleUnary,100,10,0.5,4.5,100,True,10000,True
134,2Chain,100,10,0.5,4.5,100,True,100,False
135,3Chain,100,10,0.5,4.5,100,True,100,False
136,4Chain,100,10,0.5,4.5,100,True,100,False
140,SJ-3-conf,100,10,0.5,4.5,100,True,100,True
141,5Chain,100,10,0.5,5,100,True,100,False
142,TriangleBinary,100,10,0.5,4.5,100,True,100,True
143,TriangleUnary,10,10,0.5,4.5,100,True,10000,True
144,TriangleUnary,1000,10,0.5,4.5,100,True,10000,True
